no,category,asset_name,filename,left,top,right,bottom,width,height
62,ui,button_guide_submission,62_button_guide_submission.png,16,475,305,552,289,77
63,ui,filter_semua_kategori,63_filter_semua_kategori.png,18,555,185,615,167,60
64,ui,filter_healthtech,64_filter_healthtech.png,180,555,325,615,145,60
65,ui,filter_edutech,65_filter_edutech.png,315,555,460,615,145,60
66,ui,filter_greentech,66_filter_greentech.png,445,555,590,615,145,60
67,ui,filter_fintech,67_filter_fintech.png,585,555,720,615,135,60
68,ui,filter_productivity,68_filter_productivity.png,18,605,180,665,162,60
69,ui,filter_creative,69_filter_creative.png,170,605,310,665,140,60
70,ui,filter_social_impact,70_filter_social_impact.png,295,605,455,665,160,60
71,ui,status_open,71_status_open.png,18,666,120,720,102,54
72,ui,status_reserved,72_status_reserved.png,118,666,245,720,127,54
73,ui,tag_ai_product,73_tag_ai_product.png,18,710,160,775,142,65
74,ui,stats_panel,74_stats_panel.png,270,665,725,780,455,115
75,badges,number_01,75_number_01.png,15,774,78,840,63,66
76,badges,number_02,76_number_02.png,76,774,145,840,69,66
77,badges,number_03,77_number_03.png,145,774,215,840,70,66
78,badges,number_04,78_number_04.png,210,774,280,840,70,66
79,badges,number_05,79_number_05.png,275,774,345,840,70,66
80,badges,number_06,80_number_06.png,15,830,78,905,63,75
81,badges,number_07,81_number_07.png,78,830,145,905,67,75
82,badges,number_08,82_number_08.png,145,830,215,905,70,75
83,badges,number_09,83_number_09.png,210,830,280,905,70,75
84,badges,number_10,84_number_10.png,275,830,345,905,70,75
85,cards,project_card_submitted_nutricheck,85_project_card_submitted_nutricheck.png,745,555,1115,935,370,380
86,cards,project_card_reserved_team04,86_project_card_reserved_team04.png,1135,555,1520,935,385,380
